bmUnit,settlementDate,settlementPeriod,pair_count,bid_mean,offer_mean,spread,accepted,accepted_up,accepted_down
V__MCEND001,2026-09-03,21,2,85.0,100.0,15.0,0,0,0
V__MCEND001,2026-09-03,22,2,85.0,100.0,15.0,1,0,1
V__MCEND001,2026-09-03,23,2,21.22,90.61,69.39,1,1,1
V__MCEND001,2026-09-03,24,2,77.775,92.775,15.0,1,1,1
V__MCEND001,2026-09-03,25,2,65.185,80.185,15.0,1,1,1
V__MCEND001,2026-09-03,26,1,110.0,125.0,15.0,1,0,0
V__MCEND001,2026-09-03,27,2,60.0,70.0,10.0,0,0,0
V__MCEND001,2026-09-03,28,2,60.0,70.0,10.0,0,0,0
V__MCEND001,2026-09-03,29,2,60.0,70.0,10.0,0,0,0
V__MCEND001,2026-09-03,30,2,60.31,70.31,10.0,1,1,1
V__MCEND001,2026-09-03,31,2,81.495,96.495,15.0,1,0,1
V__MCEND001,2026-09-03,32,2,93.26,100.76,7.5,1,1,1
V__MCEND001,2026-09-03,33,2,88.045,95.545,7.5,1,1,1
V__MCEND001,2026-09-03,34,2,95.105,110.105,15.0,1,1,1
V__MCEND001,2026-09-03,35,2,132.5,147.5,15.0,1,1,1
V__MCEND001,2026-09-03,36,1,95.0,110.0,15.0,0,0,0
V__MCEND001,2026-09-03,37,2,132.5,147.5,15.0,1,1,1
V__MCEND001,2026-09-03,38,2,95.0,147.5,52.5,1,0,0
V__MCEND001,2026-09-03,39,2,150.0,165.0,15.0,0,0,0
V__MCEND001,2026-09-03,40,2,120.0,165.0,45.0,0,0,0
V__MCEND001,2026-09-03,41,2,119.61,164.805,45.19500000000001,0,0,0
V__MCEND001,2026-09-03,42,2,113.57,161.785,48.215,1,0,0
V__MCEND001,2026-09-03,43,2,151.045,166.045,15.0,1,1,1
V__MCEND001,2026-09-03,44,2,113.57,128.57,15.0,1,1,0
V__MCEND001,2026-09-03,45,2,135.88,150.88,15.0,1,0,1
V__MCEND001,2026-09-03,46,2,144.71,159.71,15.0,1,1,1
V__MCEND001,2026-09-03,47,2,118.805,133.805,15.0,1,1,1
V__MCEND001,2026-09-03,48,2,110.735,125.735,15.0,1,1,1
V__MCEND001,2026-09-04,1,2,115.14,130.14,14.999999999999986,1,0,1
V__MCEND001,2026-09-04,2,2,121.43,136.43,15.0,1,1,1
V__MCEND001,2026-09-04,3,2,113.94,128.94,15.0,0,0,0
V__MCEND001,2026-09-04,4,2,115.84,130.84,15.0,0,0,0
V__MCEND001,2026-09-04,5,2,107.705,122.705,15.0,0,0,0
V__MCEND001,2026-09-04,6,2,100.0,115.0,15.0,0,0,0
V__MCEND001,2026-09-04,7,2,105.15,120.15,15.0,1,1,1
V__MCEND001,2026-09-04,8,2,102.5,117.5,15.0,1,0,0
V__MCEND001,2026-09-04,9,2,102.505,117.505,15.0,1,1,0
V__MCEND001,2026-09-04,10,2,102.5,117.5,15.0,0,0,0
V__MCEND001,2026-09-04,11,2,94.995,109.995,15.0,1,1,1
V__MCEND001,2026-09-04,12,2,95.355,110.355,15.0,1,1,1
V__MCEND001,2026-09-04,13,2,94.575,109.575,15.0,1,1,1
V__MCEND001,2026-09-04,14,2,45.0,102.5,57.5,1,0,1
V__MCEND001,2026-09-04,15,2,35.0,100.0,65.0,0,0,0
E_ARBRB-1,2026-08-28,16,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,17,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,18,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,19,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,20,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,21,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,22,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,23,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,24,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,25,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,26,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,27,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,28,2,-9999.0,9999.0,19998.0,0,0,0
E_ARBRB-1,2026-08-28,29,2,33.28,165.01,131.73,0,0,0
E_ARBRB-1,2026-08-28,30,2,32.15,163.73,131.57999999999998,0,0,0
E_ARBRB-1,2026-08-28,31,2,28.64,156.35,127.71,0,0,0
E_ARBRB-1,2026-08-28,32,2,31.16,156.93,125.77000000000001,0,0,0
E_ARBRB-1,2026-08-28,33,2,36.99,158.52,121.53,0,0,0
E_ARBRB-1,2026-08-28,34,2,37.28,165.76,128.48,0,0,0
E_ARBRB-1,2026-08-28,35,2,90.92,159.58,68.66000000000001,0,0,0
E_ARBRB-1,2026-08-28,36,2,83.22,163.83,80.61000000000001,0,0,0
E_ARBRB-1,2026-08-28,37,2,95.09,167.96,72.87,0,0,0
